OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,Nu,Gamma
ioxyr9y,tap,1401,599,18536,14,0.056388294,0,0,0.10851419,0,0,0.907003783,1092.142857,0.05,0.113
1uep0cy,acc,98,39,4802,14,0.37755102,0.030612245,3,1,0.487179487,19,0,2,0.05,0.113
1uep0cy,gyr,98,39,4744,14,0.316326531,0,0,0.743589744,0.256410256,10,0.141967693,3.785714286,0.05,0.113
1uep0cy,swp,0,0,0,0,,,,,,,,,0.05,0.113
1uep0cy,tap,706,301,19529,14,0.050991501,0,0,0.056478405,0,0,0.860090235,844.9285714,0.05,0.113
gy48qmy,acc,96,41,4802,14,0.302083333,0.010416667,1,0.853658537,0.365853659,15,0.018526978,2.5,0.05,0.113
gy48qmy,gyr,96,41,4744,14,0.25,0.010416667,1,0.87804878,0.365853659,15,0.111281498,3.071428571,0.05,0.113
gy48qmy,swp,0,0,0,0,,,,,,,,,0.05,0.113
gy48qmy,tap,525,223,19788,14,0.034285714,0,0,0.022421525,0,0,0.938192989,1382.357143,0.05,0.113
pf3v1xv,acc,149,61,4729,14,0.348993289,0.033557047,5,0.967213115,0.459016393,28,0.002087199,2,0.05,0.113
pf3v1xv,gyr,147,61,4673,14,0.278911565,0.020408163,3,0.770491803,0.295081967,18,0.317138513,8.857142857,0.05,0.113
pf3v1xv,swp,0,0,0,0,,,,,,,,,0.05,0.113
pf3v1xv,tap,1092,466,18978,14,0.029304029,0,0,0.040772532,0,0,0.876892998,797.3571429,0.05,0.113
6jtbpdh,acc,410,169,4360,14,0.175609756,0.002439024,1,0.911242604,0.414201183,70,0.057552509,4,0.05,0.113
6jtbpdh,gyr,409,169,4303,14,0.156479218,0,0,0.633136095,0.183431953,31,0.327504097,8.357142857,0.05,0.113
6jtbpdh,swp,0,0,0,0,,,,,,,,,0.05,0.113
