OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,NumOfAcceptS,NumOfAcceptG,num_of_clf_that_decide
7f0qwx8,tap,199.0,107,13283,14,0.5879396984924623,0.12562814070351758,25.0,0.5327102803738317,0.037383177570093455,4,0.24057583285865475,9.285714285714286,0.0,9.285714285714286,1
7f0qwx8,all,,275,28291,14,,,,0.44363636363636366,0.04363636363636364,12,0.3377428076167495,10.0,1.0,9.0,1
b0602fr,acc,530.0,218,6650,14,0.052830188679245285,0.0037735849056603774,2.0,0.1651376146788991,0.009174311926605505,2,0.5249433096061819,56.714285714285715,56.714285714285715,0.0,1
b0602fr,gyr,531.0,219,5720,14,0.3766478342749529,0.04896421845574388,26.0,0.365296803652968,0.0365296803652968,8,0.4268886373058444,20.0,20.0,0.0,1
b0602fr,swp,97.0,32,1648,14,0.10309278350515463,0.0,0.0,0.125,0.0,0,0.764726842539951,72.78571428571429,0.0,72.78571428571429,1
b0602fr,tap,1304.0,567,11718,14,0.6380368098159509,0.2062883435582822,269.0,0.673721340388007,0.09171075837742504,52,0.23423963655080174,9.142857142857142,0.0,9.142857142857142,1
b0602fr,all,,1036,25736,14,,,,0.48455598455598453,0.05791505791505792,60,0.3857438877331197,17.5,5.0,12.5,1
ftk8v41,acc,424.0,176,6798,14,0.08490566037735849,0.0,0.0,0.1534090909090909,0.0,0,0.5426682685308791,56.42857142857143,56.42857142857143,0.0,1
ftk8v41,gyr,424.0,176,5870,14,0.1792452830188679,0.0023584905660377358,1.0,0.3465909090909091,0.017045454545454544,3,0.6337697662281788,130.42857142857142,130.42857142857142,0.0,1
ftk8v41,swp,34.0,5,1738,14,0.47058823529411764,0.029411764705882353,1.0,0.4,0.0,0,0.29293353392533694,9.571428571428571,0.0,9.571428571428571,1
ftk8v41,tap,1367.0,594,11628,14,0.576444769568398,0.1711777615215801,234.0,0.4831649831649832,0.04208754208754209,25,0.31733335130924367,14.142857142857142,0.0,14.142857142857142,1
ftk8v41,all,,951,26034,14,,,,0.3964248159831756,0.028391167192429023,27,0.4328679018320045,15.0,1.0,14.0,1
l1doqao,acc,708.0,213,6477,14,0.031073446327683617,0.0,0.0,0.14553990610328638,0.0,0,0.10233347030495642,82.78571428571429,82.78571428571429,0.0,1
l1doqao,gyr,384.0,153,5933,14,0.3958333333333333,0.0625,24.0,0.30718954248366015,0.006535947712418301,1,0.10587937791675671,3.2142857142857144,3.2142857142857144,0.0,1
l1doqao,swp,29.0,6,1742,14,0.3793103448275862,0.034482758620689655,1.0,0.8333333333333334,0.16666666666666666,1,0.049256643772401014,3.2857142857142856,0.0,3.2857142857142856,1
