OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,Window,Overlap
r13q05q,gyr,635,254,8007,14,0.49763779527559054,0.03779527559055118,24,0.6062992125984252,0.09448818897637795,24,0.21742934751726353,7.214285714285714,25,0.1
vk43uke,acc,627,258,7980,14,0.4960127591706539,0.05263157894736842,33,0.0,0.0,0,0.12746668873494374,10.428571428571429,25,0.1
vk43uke,gyr,627,260,8009,14,0.49920255183413076,0.023923444976076555,15,0.3384615384615385,0.0038461538461538464,1,0.3010790411797562,23.214285714285715,25,0.1
vo441ru,acc,742,131,7992,14,0.5,0.05121293800539083,38,0.5572519083969466,0.03816793893129771,5,0.0034819314466117937,2.0,25,0.1
vo441ru,gyr,623,265,8008,14,0.5008025682182986,0.04333868378812199,27,0.4339622641509434,0.045283018867924525,12,0.00019623233908948196,2.0,25,0.1
68n9ll,acc,345,139,8381,14,0.5043478260869565,0.05507246376811594,19,0.2517985611510791,0.007194244604316547,1,0.2201589697093255,21.5,25,0.1
68n9ll,gyr,345,138,8413,14,0.4985507246376812,0.02608695652173913,9,0.39855072463768115,0.036231884057971016,5,0.5541844662509934,83.28571428571429,25,0.1
7stgp0r,acc,397,163,8305,14,0.5012594458438288,0.04785894206549118,19,0.34355828220858897,0.05521472392638037,9,0.461657141304088,105.92857142857143,25,0.1
7stgp0r,gyr,397,164,8335,14,0.4987405541561713,0.037783375314861464,15,0.39634146341463417,0.012195121951219513,2,0.34844208611938,12.357142857142858,25,0.1
z8c5rtb,acc,590,250,8025,14,0.49830508474576274,0.04406779661016949,26,0.32,0.012,3,0.5532557856258544,69.0,25,0.1
z8c5rtb,gyr,590,250,8056,14,0.5033898305084745,0.0288135593220339,17,0.364,0.036,9,0.40479389413517747,45.357142857142854,25,0.1
z8taipm,acc,282,119,9576,14,0.49645390070921985,0.04609929078014184,13,0.35294117647058826,0.0,0,0.11854412337825083,12.214285714285714,25,0.2
z8taipm,gyr,281,118,9596,14,0.5088967971530249,0.03558718861209965,10,0.4322033898305085,0.00847457627118644,1,0.48212317691313117,57.0,25,0.2
3zd4fdk,acc,295,115,9567,14,0.49830508474576274,0.0711864406779661,21,0.3652173913043478,0.05217391304347826,6,0.019369031597852582,2.0,25,0.2
3zd4fdk,gyr,296,115,9584,14,0.5,0.037162162162162164,11,0.48695652173913045,0.034782608695652174,4,0.31652430743963933,26.0,25,0.2
ipuyiii,acc,206,85,9686,14,0.5,0.03398058252427184,7,0.38823529411764707,0.023529411764705882,2,0.17855898434165124,11.5,25,0.2
ipuyiii,gyr,206,85,9704,14,0.5,0.03398058252427184,7,0.5411764705882353,0.07058823529411765,6,0.4130454640459889,34.07142857142857,25,0.2
ha3ev43,acc,173,65,9739,14,0.49710982658959535,0.06358381502890173,11,0.46153846153846156,0.046153846153846156,3,0.09766326171022387,2.4285714285714284,25,0.2
ha3ev43,gyr,167,73,9755,14,0.5029940119760479,0.041916167664670656,7,0.273972602739726,0.0136986301369863,1,0.13011659878977067,4.428571428571429,25,0.2
b0602fr,acc,733,302,8942,14,0.5006821282401092,0.02455661664392906,18,0.6589403973509934,0.09271523178807947,28,0.24513904135518186,43.214285714285715,25,0.2
b0602fr,gyr,724,309,8962,14,0.4986187845303867,0.04005524861878453,29,0.5501618122977346,0.061488673139158574,19,0.4264926868814594,40.42857142857143,25,0.2
l1doqao,acc,707,301,8969,14,0.49929278642149927,0.04667609618104668,33,0.5348837209302325,0.03986710963455149,12,0.11075786376825485,12.785714285714286,25,0.2
l1doqao,gyr,707,301,8987,14,0.49929278642149927,0.036775106082036775,26,0.4717607973421927,0.036544850498338874,11,0.18828268834844356,12.142857142857142,25,0.2
855whqe,acc,125,52,9800,14,0.496,0.016,2,0.38461538461538464,0.0,0,0.09328648884212325,7.071428571428571,25,0.2
855whqe,gyr,125,52,9818,14,0.496,0.032,4,0.3076923076923077,0.0,0,0.17025537325108692,5.214285714285714,25,0.2
v90gnf6,acc,724,306,8947,14,0.4972375690607735,0.07044198895027624,51,0.6699346405228758,0.10784313725490197,33,0.4308610269965481,43.57142857142857,25,0.2
v90gnf6,gyr,725,305,8965,14,0.4993103448275862,0.030344827586206897,22,0.46885245901639344,0.022950819672131147,7,0.28123243262965925,6.928571428571429,25,0.2
ap1oez8,acc,207,79,9691,14,0.4975845410628019,0.03864734299516908,8,0.34177215189873417,0.012658227848101266,1,0.03267291306834445,2.0,25,0.2
ap1oez8,gyr,206,79,9710,14,0.5097087378640777,0.043689320388349516,9,0.6962025316455697,0.13924050632911392,11,0.36441513014316435,21.785714285714285,25,0.2
r13q05q,acc,773,230,8974,14,0.5032341526520052,0.0724450194049159,56,0.6652173913043479,0.1,23,0.053563667143472826,2.2857142857142856,25,0.2
r13q05q,gyr,720,291,8984,14,0.5013888888888889,0.041666666666666664,30,0.6013745704467354,0.0859106529209622,25,0.22911904595072463,11.571428571428571,25,0.2
