OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,Nu,Gamma
36z77qn,acc,223,247,7187,14,0.00896861,0.0,0.0,0.016194332,0.0,0.0,0.299421598,97.21428571,0.01,0.0008
36z77qn,gyr,173,67,5737,14,0.248554913,0.01734104,3.0,0.358208955,0.044776119,3.0,0.372064295,11.07142857,0.25,0.004
36z77qn,swp,0,0,0,0,,,,,,,,,0.1,0.004
36z77qn,tap,454,193,21749,14,0.389867841,0.004405286,2.0,0.419689119,0.005181347,1.0,0.402780244,112.3571429,0.4,0.525
b0602fr,acc,354,148,7155,14,0.008474576,0.0,0.0,0.189189189,0.027027027,4.0,0.357898813,34.07142857,0.01,0.0008
b0602fr,gyr,355,148,5474,14,0.250704225,0.025352113,9.0,0.533783784,0.12837837800000002,19.0,0.483801642,44.85714286,0.25,0.004
b0602fr,swp,0,0,0,0,,,,,,,,,0.1,0.004
b0602fr,tap,1401,599,20396,14,0.410421128,0.009279086,13.0,0.368948247,0.003338898,2.0,0.447472843,134.5714286,0.4,0.525
2cf0s6s,acc,503,181,6973,14,0.009940358,0.0,0.0,1.0,0.497237569,90.0,0.0,2.0,0.01,0.0008
2cf0s6s,gyr,164,59,5754,14,0.25,0.012195122,2.0,0.559322034,0.050847458,3.0,0.06827409200000001,2.857142857,0.25,0.004
2cf0s6s,swp,0,0,0,0,,,,,,,,,0.1,0.004
2cf0s6s,tap,1215,520,20661,14,0.399176955,0.013168724,16.0,0.4673076920000001,0.019230769,10.0,0.669879687,384.35714289999993,0.4,0.525
hwx9u0h,acc,157,43,7457,14,0.006369427,0.0,0.0,0.023255814,0.0,0.0,0.091028168,7.857142857,0.01,0.0008
hwx9u0h,gyr,157,44,5776,14,0.248407643,0.01910828,3.0,0.4318181820000001,0.022727273,1.0,0.330210065,14.0,0.25,0.004
hwx9u0h,swp,0,0,0,0,,,,,,,,,0.1,0.004
hwx9u0h,tap,482,205,21709,14,0.398340249,0.012448133,6.0,0.448780488,0.03902439,8.0,0.782087278,985.5,0.4,0.525
sqhkewt,acc,470,86,7101,14,0.012765957,0.0,0.0,0.23255814,0.023255814,2.0,0.387575198,109.8571429,0.01,0.0008
sqhkewt,gyr,116,49,5812,14,0.25862069,0.017241378999999998,2.0,0.204081633,0.0,0.0,0.264831868,25.92857143,0.25,0.004
sqhkewt,swp,0,0,0,0,,,,,,,,,0.1,0.004
sqhkewt,tap,380,162,21854,14,0.394736842,0.002631579,1.0,0.5,0.037037037,6.0,0.271843515,28.21428571,0.4,0.525
l1doqao,acc,661,3,6993,14,0.010590015,0.0,0.0,0.333333333,0.0,0.0,0.623523433,108.3571429,0.01,0.0008
l1doqao,gyr,213,65,5699,14,0.248826291,0.03286385,7.0,0.215384615,0.0,0.0,0.241885552,8.285714286000001,0.25,0.004
l1doqao,swp,0,0,0,0,,,,,,,,,0.1,0.004
l1doqao,tap,730,311,21355,14,0.402739726,0.016438356,12.0,0.421221865,0.009646302,3.0,0.42111129,55.71428571,0.4,0.525
r13q05q,acc,739,227,6691,14,0.00811908,0.0,0.0,0.004405286,0.0,0.0,0.352279146,99.85714286,0.01,0.0008
r13q05q,gyr,640,273,5064,14,0.2484375,0.0140625,9.0,0.128205128,0.010989011000000002,3.0,0.224415652,11.28571429,0.25,0.004
r13q05q,swp,0,0,0,0,,,,,,,,,0.1,0.004
r13q05q,tap,1401,599,20396,14,0.39971449,0.009279086,13.0,0.41903172,0.010016694,6.0,0.265777659,6.071428571,0.4,0.525
vk43uke,acc,683,268,6706,14,0.011713031,0.0,0.0,0.444029851,0.156716418,42.0,0.291420268,93.07142857,0.01,0.00155
vk43uke,gyr,617,265,5095,14,0.252836305,0.025931929,16.0,0.313207547,0.022641509,6.0,0.682382375,100.6428571,0.25,0.0075
vk43uke,swp,0,0,0,0,,,,,,,,,0.1,0.0075
vk43uke,tap,1401,599,20396,14,0.41184868,0.012847966,18.0,0.437395659,0.015025042,9.0,0.525029555,49.57142857,0.4,0.55
r2p4ljs,acc,131,54,7472,14,0.030534351,0.0,0.0,0.055555556,0.0,0.0,0.8508177690000001,282.35714289999993,0.01,0.00155
r2p4ljs,gyr,130,54,5793,14,0.253846154,0.0,0.0,0.518518519,0.12962963,7.0,0.33642465200000005,18.78571429,0.25,0.0075
r2p4ljs,swp,0,0,0,0,,,,,,,,,0.1,0.0075
r2p4ljs,tap,1401,599,20396,14,0.386866524,0.016416845,23.0,0.372287145,0.008347245,5.0,0.441170182,68.35714286,0.4,0.55
4su8oxl,acc,160,64,7433,14,0.03125,0.0,0.0,0.40625,0.125,8.0,0.000569152,2.0,0.01,0.00155
