OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,Window,Overlap
r2p4ljs,acc,626,268,7130,14,0.4968051118210863,0.12460063897763578,78,0.746268656716418,0.29850746268656714,80,0.08251577515979176,5.357142857142857,25,0.1
r2p4ljs,gyr,627,268,6463,14,0.49760765550239233,0.09090909090909091,57,0.6716417910447762,0.2126865671641791,57,0.2672185257642331,3.2857142857142856,25,0.1
r2p4ljs,all,1253,536,13593,14,0.4972067039106145,0.10375099760574621,130,0.7089552238805971,0.2537313432835821,136,0.1673491079810053,2.5714285714285716,25,0.1
b8g4bl5,acc,155,66,7803,14,0.4967741935483871,0.1032258064516129,16,0.6818181818181818,0.19696969696969696,13,0.00550420860888379,2.0,25,0.1
b8g4bl5,gyr,155,66,7137,14,0.49032258064516127,0.1032258064516129,16,0.6060606060606061,0.15151515151515152,10,0.12272595926084183,3.0714285714285716,25,0.1
b8g4bl5,all,310,132,14940,14,0.4935483870967742,0.1,31,0.6439393939393939,0.1893939393939394,25,0.06129802304475896,2.5714285714285716,25,0.1
b0602fr,acc,651,275,7098,14,0.5023041474654378,0.1336405529953917,87,0.6981818181818182,0.24727272727272728,68,0.0807439183325764,2.642857142857143,25,0.1
b0602fr,gyr,651,275,6432,14,0.4976958525345622,0.09831029185867896,64,0.43636363636363634,0.07272727272727272,20,0.40993424750457,8.714285714285714,25,0.1
b0602fr,all,1302,550,13530,14,0.5,0.1175115207373272,153,0.5672727272727273,0.14909090909090908,82,0.23554507788974308,2.7142857142857144,25,0.1
cp7kjhx,acc,162,62,7800,14,0.5061728395061729,0.1111111111111111,18,0.4838709677419355,0.08064516129032258,5,0.23393369788099447,17.785714285714285,25,0.1
cp7kjhx,gyr,161,63,7134,14,0.4968944099378882,0.09316770186335403,15,0.6031746031746031,0.1746031746031746,11,0.3944963854982641,7.0,25,0.1
cp7kjhx,all,323,125,14934,14,0.5015479876160991,0.1021671826625387,33,0.544,0.12,15,0.3040681753366624,9.285714285714286,25,0.1
n0g0zsv,acc,825,49,7150,14,0.5006060606060606,0.15151515151515152,125,0.4489795918367347,0.08163265306122448,4,0.0,2.0,25,0.1
n0g0zsv,gyr,624,259,6475,14,0.5048076923076923,0.10416666666666667,65,0.7953667953667953,0.305019305019305,79,0.0002506265664160401,2.0,25,0.1
n0g0zsv,all,1449,308,13625,14,0.5024154589371981,0.10973084886128365,159,0.7402597402597403,0.262987012987013,81,0.00012575452716297788,2.0,25,0.1
l1doqao,acc,695,189,7140,14,0.49928057553956834,0.1251798561151079,87,0.6031746031746031,0.2328042328042328,44,0.034647946447145535,6.285714285714286,25,0.1
l1doqao,gyr,393,159,6806,14,0.4961832061068702,0.09414758269720101,37,0.4716981132075472,0.05660377358490566,9,0.16860617109360007,2.9285714285714284,25,0.1
l1doqao,all,1088,348,13946,14,0.49816176470588236,0.11397058823529412,124,0.5431034482758621,0.14942528735632185,52,0.10359099794248434,9.5,25,0.1
r13q05q,acc,751,123,7150,14,0.4966711051930759,0.1677762982689747,126,0.8292682926829268,0.3333333333333333,41,0.0001616031027795734,2.0,25,0.1
