OriginalUser,Module,NumOfTrnData,NumOfTstData,NumOfAttData,NumOfAtt,FRR_trn,FRRConf_trn,NumOfUnlocks_trn,FRR_tst,FRRConf_tst,NumOfUnlocks_tst,FAR,NumOfAcceptTL,num_of_clf_that_decide
ftk8v41,gyr,505,216,5256,14,0.32673267326732675,0.06732673267326733,34.0,0.4583333333333333,0.05092592592592592,11.0,0.5995086189867884,93.5,15
ftk8v41,swp,0,0,0,0,,,,,,,,,15
ftk8v41,tap,1401,599,20396,14,0.5574589578872234,0.039257673090649536,55.0,0.5091819699499165,0.015025041736227046,9.0,0.31677869696977684,20.214285714285715,15
vk43uke,acc,683,268,6706,14,0.08345534407027819,0.013177159590043924,9.0,0.585820895522388,0.23134328358208955,62.0,0.25585295422003024,91.64285714285714,15
vk43uke,gyr,617,265,5095,14,0.3225283630470016,0.05186385737439222,32.0,0.4339622641509434,0.07924528301886792,21.0,0.5977949115883122,86.21428571428571,15
vk43uke,swp,0,0,0,0,,,,,,,,,15
vk43uke,tap,1401,599,20396,14,0.5367594575303355,0.039257673090649536,55.0,0.5225375626043406,0.048414023372287146,29.0,0.36089279425773974,30.785714285714285,15
4su8oxl,acc,160,64,7433,14,0.09375,0.00625,1.0,0.5625,0.203125,13.0,0.0002845759817871372,2.0,15
4su8oxl,gyr,158,62,5757,14,0.3291139240506329,0.02531645569620253,4.0,0.46774193548387094,0.0967741935483871,6.0,0.008938261985365117,2.5714285714285716,15
4su8oxl,swp,0,0,0,0,,,,,,,,,15
4su8oxl,tap,646,276,21474,14,0.5108359133126935,0.030959752321981424,20.0,0.6485507246376812,0.07971014492753623,22.0,0.28472800425703076,18.142857142857142,15
36z77qn,acc,223,247,7187,14,0.04484304932735426,0.0,0.0,0.04048582995951417,0.0,0.0,0.23205090571612758,19.428571428571427,50
36z77qn,gyr,173,67,5737,14,0.30057803468208094,0.017341040462427744,3.0,0.44776119402985076,0.05970149253731343,4.0,0.271320952084713,6.071428571428571,50
36z77qn,swp,0,0,0,0,,,,,,,,,50
36z77qn,tap,454,193,21749,14,0.526431718061674,0.03524229074889868,16.0,0.5854922279792746,0.046632124352331605,9.0,0.23405297732339372,22.714285714285715,50
r13q05q,acc,739,227,6691,14,0.05277401894451962,0.008119079837618403,6.0,0.00881057268722467,0.0,0.0,0.09539925345955495,17.285714285714285,50
r13q05q,gyr,640,273,5064,14,0.34375,0.03125,20.0,0.17216117216117216,0.01098901098901099,3.0,0.15928851931782823,7.857142857142857,50
r13q05q,swp,0,0,0,0,,,,,,,,,50
r13q05q,tap,1401,599,20396,14,0.561741613133476,0.04139900071377588,58.0,0.5626043405676127,0.0333889816360601,20.0,0.2260164366375072,5.785714285714286,50
b1qt6gb,acc,83,28,7546,14,0.0963855421686747,0.0,0.0,0.10714285714285714,0.0,0.0,0.015047027377278279,2.0,50
b1qt6gb,gyr,82,28,5867,14,0.32926829268292684,0.036585365853658534,3.0,0.35714285714285715,0.0,0.0,0.2284435360454631,14.428571428571429,50
b1qt6gb,swp,0,0,0,0,,,,,,,,,50
b1qt6gb,tap,576,246,21574,14,0.5399305555555556,0.034722222222222224,20.0,0.4268292682926829,0.008130081300813009,2.0,0.48023607977413224,60.57142857142857,50
l1doqao,acc,661,3,6993,14,0.0453857791225416,0.0045385779122541605,3.0,0.3333333333333333,0.0,0.0,0.3706960519951848,67.14285714285714,50
l1doqao,gyr,213,65,5699,14,0.3286384976525822,0.046948356807511735,10.0,0.2923076923076923,0.0,0.0,0.14697396144956024,5.214285714285714,50
l1doqao,swp,0,0,0,0,,,,,,,,,50
l1doqao,tap,730,311,21355,14,0.5315068493150685,0.04657534246575343,34.0,0.5627009646302251,0.04823151125401929,15.0,0.3188018303659497,15.928571428571429,50
b0602fr,acc,354,148,7155,14,0.059322033898305086,0.0,0.0,0.5405405405405406,0.10810810810810811,16.0,0.087700854243229,2.0,50
b0602fr,gyr,355,148,5474,14,0.3464788732394366,0.03943661971830986,14.0,0.6148648648648649,0.1554054054054054,23.0,0.40018130157851645,16.5,50
b0602fr,swp,0,0,0,0,,,,,,,,,50
b0602fr,tap,1401,599,20396,14,0.5324768022840828,0.03354746609564597,47.0,0.4991652754590985,0.00667779632721202,4.0,0.39102572217023285,47.857142857142854,50
r2p4ljs,acc,131,54,7472,14,0.061068702290076333,0.0,0.0,0.18518518518518517,0.0,0.0,0.5056596324336097,96.92857142857143,50
r2p4ljs,gyr,130,54,5793,14,0.33076923076923076,0.0,0.0,0.6111111111111112,0.2037037037037037,11.0,0.2603998235953133,14.571428571428571,50
r2p4ljs,swp,0,0,0,0,,,,,,,,,50
r2p4ljs,tap,1401,599,20396,14,0.5317630264097074,0.04853675945753034,68.0,0.5442404006677797,0.03672787979966611,22.0,0.3271162724103505,15.642857142857142,50
sqhkewt,acc,470,86,7101,14,0.04468085106382979,0.00425531914893617,2.0,0.813953488372093,0.2558139534883721,22.0,0.29371367456367103,24.285714285714285,50
sqhkewt,gyr,116,49,5812,14,0.3448275862068966,0.02586206896551724,3.0,0.4489795918367347,0.02040816326530612,1.0,0.14048257352649285,3.857142857142857,50
sqhkewt,swp,0,0,0,0,,,,,,,,,50
sqhkewt,tap,380,162,21854,14,0.5289473684210526,0.02368421052631579,9.0,0.6234567901234568,0.06790123456790123,11.0,0.19147266013562864,10.928571428571429,50
2cf0s6s,acc,503,181,6973,14,0.04771371769383698,0.0,0.0,1.0,0.4972375690607735,90.0,0.0,2.0,50
2cf0s6s,gyr,164,59,5754,14,0.3231707317073171,0.012195121951219513,2.0,0.7288135593220338,0.1016949152542373,6.0,0.02299526852258258,2.0,50
2cf0s6s,swp,0,0,0,0,,,,,,,,,50
2cf0s6s,tap,1215,520,20661,14,0.5275720164609053,0.03621399176954732,44.0,0.5673076923076923,0.04038461538461539,21.0,0.45631414947678434,113.35714285714286,50
n0g0zsv,acc,500,485,6672,14,0.052,0.004,2.0,0.002061855670103093,0.0,0.0,0.032087122022280666,2.0,50
n0g0zsv,gyr,641,257,5079,14,0.31357254290171604,0.0265210608424337,17.0,0.4474708171206226,0.038910505836575876,10.0,0.03462706273648057,5.642857142857143,50
n0g0zsv,swp,0,0,0,0,,,,,,,,,50
n0g0zsv,tap,1401,599,20396,14,0.5303354746609564,0.034261241970021415,48.0,0.5409015025041736,0.035058430717863104,21.0,0.2424288196884818,7.785714285714286,50
hwx9u0h,acc,157,43,7457,14,0.05732484076433121,0.0,0.0,0.16279069767441862,0.0,0.0,0.051309917216478165,5.071428571428571,50
hwx9u0h,gyr,157,44,5776,14,0.31210191082802546,0.01910828025477707,3.0,0.5,0.022727272727272728,1.0,0.24119138291722622,10.5,50
hwx9u0h,swp,0,0,0,0,,,,,,,,,50
hwx9u0h,tap,482,205,21709,14,0.524896265560166,0.043568464730290454,21.0,0.5609756097560976,0.07317073170731707,15.0,0.6527881140367169,573.2857142857143,50
cp7kjhx,acc,150,61,7446,14,0.06,0.0,0.0,0.01639344262295082,0.0,0.0,0.4992710711527385,102.85714285714286,50
cp7kjhx,gyr,151,61,5765,14,0.32450331125827814,0.0,0.0,0.32786885245901637,0.0,0.0,0.594982579971414,74.28571428571429,50
cp7kjhx,swp,0,0,0,0,,,,,,,,,50
cp7kjhx,tap,1401,599,20396,14,0.5374732334047109,0.03497501784439686,49.0,0.6093489148580968,0.0667779632721202,40.0,0.477872881565012,41.642857142857146,50
0z9xv36,acc,163,64,7430,14,0.06134969325153374,0.0,0.0,0.484375,0.15625,10.0,0.0,2.0,50
0z9xv36,gyr,163,64,5750,14,0.32515337423312884,0.012269938650306749,2.0,0.46875,0.03125,2.0,0.00581893010012124,2.0,50
0z9xv36,swp,0,0,0,0,,,,,,,,,50
0z9xv36,tap,1401,599,20396,14,0.53604568165596,0.08065667380442541,113.0,0.35058430717863104,0.005008347245409015,3.0,0.4031744461711328,131.42857142857142,50
ftk8v41,acc,505,216,6936,14,0.053465346534653464,0.0,0.0,0.14351851851851852,0.004629629629629629,1.0,0.34049403568468783,44.642857142857146,50
ftk8v41,gyr,505,216,5256,14,0.3287128712871287,0.05742574257425743,29.0,0.49537037037037035,0.05092592592592592,11.0,0.5814334814170411,86.28571428571429,50
ftk8v41,swp,0,0,0,0,,,,,,,,,50
ftk8v41,tap,1401,599,20396,14,0.510349750178444,0.027123483226266953,38.0,0.4590984974958264,0.01001669449081803,6.0,0.3388861917785387,20.214285714285715,50
vk43uke,acc,683,268,6706,14,0.040995607613469986,0.0014641288433382138,1.0,0.6044776119402985,0.208955223880597,56.0,0.24864854363703578,85.64285714285714,50
vk43uke,gyr,617,265,5095,14,0.33225283630470015,0.04051863857374392,25.0,0.4641509433962264,0.07924528301886792,21.0,0.5564528446940267,67.28571428571429,50
vk43uke,swp,0,0,0,0,,,,,,,,,50
vk43uke,tap,1401,599,20396,14,0.5339043540328337,0.039257673090649536,55.0,0.5191986644407346,0.048414023372287146,29.0,0.3669127453305115,31.714285714285715,50
4su8oxl,acc,160,64,7433,14,0.06875,0.0,0.0,0.484375,0.140625,9.0,0.0,2.0,50
4su8oxl,gyr,158,62,5757,14,0.34810126582278483,0.02531645569620253,4.0,0.4838709677419355,0.0967741935483871,6.0,0.00429433225364824,2.2857142857142856,50
4su8oxl,swp,0,0,0,0,,,,,,,,,50
4su8oxl,tap,646,276,21474,14,0.541795665634675,0.03869969040247678,25.0,0.6702898550724637,0.09057971014492754,25.0,0.26241746455922604,12.714285714285714,50
36z77qn,acc,223,247,7187,14,0.04932735426008968,0.0,0.0,0.04048582995951417,0.0,0.0,0.23113553626174402,19.428571428571427,100
36z77qn,gyr,173,67,5737,14,0.30057803468208094,0.017341040462427744,3.0,0.44776119402985076,0.05970149253731343,4.0,0.27111904143351623,6.071428571428571,100
36z77qn,swp,0,0,0,0,,,,,,,,,100
36z77qn,tap,454,193,21749,14,0.5176211453744494,0.03303964757709251,15.0,0.5751295336787565,0.04145077720207254,8.0,0.2462280954375489,23.785714285714285,100
r13q05q,acc,739,227,6691,14,0.056833558863328824,0.008119079837618403,6.0,0.00881057268722467,0.0,0.0,0.0965331369733299,16.857142857142858,100
r13q05q,gyr,640,273,5064,14,0.3453125,0.0296875,19.0,0.1794871794871795,0.01098901098901099,3.0,0.1540139084179539,7.857142857142857,100
r13q05q,swp,0,0,0,0,,,,,,,,,100
r13q05q,tap,1401,599,20396,14,0.5017844396859387,0.027837259100642397,39.0,0.5208681135225376,0.021702838063439065,13.0,0.24469393132334782,6.071428571428571,100
b1qt6gb,acc,83,28,7546,14,0.0963855421686747,0.0,0.0,0.14285714285714285,0.0,0.0,0.012354294398696663,2.0,100
b1qt6gb,gyr,82,28,5867,14,0.32926829268292684,0.036585365853658534,3.0,0.35714285714285715,0.0,0.0,0.2294278731338534,14.428571428571429,100
b1qt6gb,swp,0,0,0,0,,,,,,,,,100
b1qt6gb,tap,576,246,21574,14,0.5138888888888888,0.029513888888888888,17.0,0.3780487804878049,0.008130081300813009,2.0,0.4976116402751805,90.14285714285714,100
l1doqao,acc,661,3,6993,14,0.049924357034795766,0.006051437216338881,4.0,0.3333333333333333,0.0,0.0,0.3691422631955401,67.14285714285714,100
l1doqao,gyr,213,65,5699,14,0.3333333333333333,0.046948356807511735,10.0,0.27692307692307694,0.0,0.0,0.14359842119814395,4.714285714285714,100
l1doqao,swp,0,0,0,0,,,,,,,,,100
l1doqao,tap,730,311,21355,14,0.5273972602739726,0.045205479452054796,33.0,0.5498392282958199,0.04180064308681672,13.0,0.3270164027795011,16.214285714285715,100
b0602fr,acc,354,148,7155,14,0.05367231638418079,0.0,0.0,0.5405405405405406,0.10810810810810811,16.0,0.08761924253862671,2.0,100
b0602fr,gyr,355,148,5474,14,0.3295774647887324,0.036619718309859155,13.0,0.6013513513513513,0.14189189189189189,21.0,0.4133121064630526,27.357142857142858,100
b0602fr,swp,0,0,0,0,,,,,,,,,100
b0602fr,tap,1401,599,20396,14,0.516773733047823,0.02926481084939329,41.0,0.48247078464106846,0.005008347245409015,3.0,0.3972355466836537,105.57142857142857,100
